study_word	test	trials.thisRepN	trials.thisTrialN	trials.thisN	trials.thisIndex	trials_2.thisRepN	trials_2.thisTrialN	trials_2.thisN	trials_2.thisIndex	text.started	slider.started	slider.response	slider.rt	text_2.started	textbox.started	text_3.started	mouse.started	textbox.text	mouse.x	mouse.y	mouse.leftButton	mouse.midButton	mouse.rightButton	mouse.time	mouse.clicked_name	participant	session	date	expName	psychopyVersion	frameRate
cushion		0	0	0	3					11.863604	11.863604	1.020833333	2.2351995													476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
tiger		0	1	1	1					14.1228349	14.1228349	1.020833333	0.7587877													476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
piano		0	2	2	4					14.9077049	14.9077049	1.020833333	1.0048761													476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
vase		0	3	3	0					15.9409069	15.9409069	1.020833333	0.8327446													476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
book		0	4	4	2					16.8032502	16.8032502	1.020833333	0.7577338													476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_a_e					0	0	0	0					17.5850394	17.5850394	17.5850394	0.0090132	vase	[-0.033854166666666664]	[-0.3033854166666667]	[1]	[0]	[0]	[5.903137699933723]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	c_s_h_o_n					0	1	1	3					23.5130821	23.5130821	23.5130821	0.0111467	cushion	[-0.05078125]	[-0.2916666666666667]	[1]	[0]	[0]	[4.406548699946143]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_ia_n					0	2	2	4					27.9310894	27.9310894	27.9310894	0.0102842	piano	[-0.020833333333333332]	[-0.3151041666666667]	[1]	[0]	[0]	[6.059977800003253]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_o_s_					0	3	3	8					34.0046032	34.0046032	34.0046032	0.0104082	house	[-0.016927083333333332]	[-0.3046875]	[1]	[0]	[0]	[6.377147099934518]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_oo_					0	4	4	2					40.3980748	40.3980748	40.3980748	0.0092201	cool	[-0.057291666666666664]	[-0.2955729166666667]	[1]	[0]	[0]	[3.9489592000609264]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	t_g_r					0	5	5	1					44.3580494	44.3580494	44.3580494	0.0094503	tiger	[-0.09375]	[-0.3098958333333333]	[1]	[0]	[0]	[4.296684899949469]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	o_a_n_e					0	6	6	9					48.6664415	48.6664415	48.6664415	0.0100932	orange	[-0.125]	[-0.2955729166666667]	[1]	[0]	[0]	[4.045276899938472]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_p_a_d_					0	7	7	7					52.7325711	52.7325711	52.7325711	0.0156477		[-0.125]	[-0.2955729166666667]	[1]	[0]	[0]	[9.530986099969596]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	_ea_o_					0	8	8	5					62.2782943	62.2782943	62.2782943	0.0091282		[-0.125]	[-0.2955729166666667]	[1]	[0]	[0]	[1.7172613999573514]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
	c_m_r_					0	9	9	6					64.0105551	64.0105551	64.0105551	0.0087917	camera	[-0.125]	[-0.2955729166666667]	[1]	[0]	[0]	[4.9950382999377325]	['text_3']	476424	1	2022-10-20_20h47.14.044	Tutorial 5	2022.2.2	60.20893703
																															
																															
																															
																															
			Proportion of hits from study list 	0.4																											
			Proportion of hits for non primed words 	0.3																											
			Priming Score	0.1																											
